iso_alpha;pop;continent;country
AUS;35;Europe;Austria
USA;390;Americas;SUA
GBR;135;Europe;Marea Britanie
PRI;84;Americas;Puerto Rico
DOM;4;Americas;Republica Dominicana
ITA;10;Europe;Italia
CAN;114;Americas;Canada
COL;50;Americas;Columbia
KOR;32;Asia;Korea de Sud
MEX;8;Americas;Mexic
JAM;5;Americas;Jamaica
ARG;15;Americas;Argentina
PAN;11;Americas;Panama
CUB;5;Americas;Cuba
NLD;8;Europe;Olanda
NOR;5;Europe;Norvegia
IND;15;Asia;India
BRA;28;Americas;Brazilia
SWE;18;Europe;Suedia
PHL;1;Asia;Filipine
DEU;5;Europe;Germania
TUR;1;Asia;Turcia
IRL;5;Europe;Irlanda
PNG;1;Oceania;Papua
FRA;5;Europe;Franta
THA;3;Asia;Tailanda
CAF;8;Africa;Republica Centrala Africana
BEL;2;Europe;Belgia